nome;cpf;endereco;cep;cidade;estado
Thiago Varjão Lima;456.789.852-77;Rua da Concórdia, 45, Del Castilho;20.755-356;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-78;Rua da Amorosa, 5, Bonsucesso;20.755-357;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-79;Rua da Concórdia, 45, Del Castilho;20.755-358;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-80;Rua da Concórdia, 45, Del Castilho;20.755-359;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-81;Rua da Concórdia, 45, Del Castilho;20.755-360;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-82;Rua da Concórdia, 45, Del Castilho;20.755-361;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-83;Rua da Concórdia, 45, Del Castilho;20.755-362;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-84;Rua da Concórdia, 45, Del Castilho;20.755-363;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-85;Rua da Concórdia, 45, Del Castilho;20.755-364;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-86;Rua da Concórdia, 45, Del Castilho;20.755-365;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-87;Rua da Concórdia, 45, Del Castilho;20.755-366;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-88;Rua da Concórdia, 45, Del Castilho;20.755-367;Rio de Janeiro;Rio de Janeiro
Thiago Varjão Lima;456.789.852-89;Rua da Concórdia, 45, Del Castilho;20.755-368;Rio de Janeiro;Rio de Janeiro
